Row    Object Name       		 RA     	DEC  
438  SDSS J124406.73+494936.0 12h44m06.7s +49d49m36s
439  2MASS J12442530+0445001  12h44m25.3s +04d45m00s
440  SDSS J124444.35+161621.7 12h44m44.3s +16d16m22s
441 *SDSS J124510.00+570954.3 12h45m10.0s +57d09m54s
442  SDSS J124533.79+022825.1 12h45m33.8s +02d28m25s
443  SDSS J124602.52+011318.7 12h46m02.5s +01d13m19s
444 *SDSS J124700.72+442318.7 12h47m00.7s +44d23m19s
445  SDSS J124745.39+325147.0 12h47m45.4s +32d51m47s
446  SDSS J124805.38+141140.3 12h48m05.4s +14d11m40s
447  SBS 1246+586             12h48m18.8s +58d20m29s
448 *2MASX J12483429+5128077  12h48m34.3s +51d28m08s
449  SDSS J124946.74+370747.7 12h49m46.7s +37d07m48s
450 *SDSS J125015.53+315559.5 12h50m15.5s +31d56m00s
451  PKS 1247+025             12h50m32.6s +02d16m32s
452  SDSS J125117.88+103907.2 12h51m17.9s +10d39m07s
453  FBQS J125219.4+264053    12h52m19.5s +26d40m54s
454  SDSS J125234.58+084944.0 12h52m34.6s +08d49m44s
455  SDSS J125234.66+293732.6 12h52m34.7s +29d37m33s
456  2MASS J12530097+3826259  12h53m00.9s +38d26m26s
457  SDSS J125307.45+220359.1 12h53m07.4s +22d03m59s
458  2MASS J12531190+5301117  12h53m11.9s +53d01m12s
459  2MASS J12535933+6242579  12h53m59.3s +62d42m58s
460  SDSS J125433.27+221103.7 12h54m33.3s +22d11m04s
461  SDSS J125555.40+384811.3 12h55m55.4s +38d48m12s
462  SDSS J125639.35+060908.0 12h56m39.3s +06d09m08s
463  FBQS J125716.5+364715    12h57m16.6s +36d47m15s
464  2MASS J12582083+6120453  12h58m20.8s +61d20m46s
465  SDSS J125905.02+222716.5 12h59m05.0s +22d27m17s
466  SDSS J130008.52+175538.0 13h00m08.5s +17d55m38s
467 *SDSS J130032.78+535112.4 13h00m32.8s +53d51m12s
468  FBQS J130145.6+405624    13h01m45.7s +40d56m25s
469  2MASS J13014635+4416192  13h01m46.3s +44d16m19s
470  SDSS J130255.35+505618.2 13h02m55.3s +50d56m18s
471  SDSS J130312.89+321911.4 13h03m12.9s +32d19m11s
472  2MASS J13053124+3855218  13h05m31.2s +38d55m22s
473  B3 1307+433              13h09m25.5s +43d05m06s
474  [HB89] 1307+121          13h09m33.9s +11d54m25s
475 *SDSS J130941.35+112540.1 13h09m41.3s +11d25m40s
476  SDSS J131059.77+560140.2 13h10m59.8s +56d01m40s
477 *LBQS 1308+0051           13h11m06.5s +00d35m10s
478  SDSS J131146.02+395317.5 13h11m46.0s +39d53m17s
479  LBQS 1310+0216           13h13m30.1s +02d01m06s
480  FBQS J131443.8+234826    13h14m43.8s +23d48m27s
481  2MASS J13193174+1405327  13h19m31.7s +14d05m33s
482  SDSS J131935.27+272502.2 13h19m35.3s +27d25m02s
483  SDSS J132130.21+481719.1 13h21m30.2s +48d17m19s
484  SDSS J132138.85+010846.3 13h21m38.8s +01d08m46s
485  SDSS J132231.46+134429.8 13h22m31.5s +13d44m30s
486  SDSS J132239.31+494336.2 13h22m39.3s +49d43m36s
487  SDSS J132247.40+321608.5 13h22m47.4s +32d16m09s
488  2MASX J13230099+0439514  13h23m01.0s +04d39m51s
489  SDSS J132358.36+140559.4 13h23m58.3s +14d05m59s
490  SDSS J132541.91-022810.1 13h25m41.9s -02d28m10s
491  SDSS J132614.99+293330.9 13h26m15.0s +29d33m31s
492 *2MASX J13261766+1229585  13h26m17.7s +12d29m59s
493  SDSS J132703.26+341321.7 13h27m03.2s +34d13m22s
494  SDSS J132758.05+441326.7 13h27m58.0s +44d13m27s
495  SDSS J132758.95+252746.4 13h27m58.9s +25d27m46s
496  2MASS J13275991+6458118  13h27m59.7s +64d58m11s
497  SDSS J132802.09+112913.6 13h28m02.1s +11d29m14s
498  SBS 1326+551             13h28m09.6s +54d54m53s
499  SDSS J132833.56+114520.5 13h28m33.6s +11d45m21s
500  SDSS J133021.52+444120.3 13h30m21.5s +44d41m20s
501  SDSS J133026.52+241521.5 13h30m26.5s +24d15m21s
502  SDSS J133040.69+565520.1 13h30m40.7s +56d55m20s
503  SDSS J133046.70-000543.6 13h30m46.7s -00d05m44s
504  2MASS J13310292+5655416  13h31m02.9s +56d55m42s
505  2MASS J13310569-0022208  13h31m05.7s -00d22m21s
506 *2MASS J13313344+1712507  13h31m33.4s +17d12m51s
507  SDSS J1332+0347          13h32m22.6s +03d47m40s
508  SDSS J133312.77+293554.2 13h33m12.8s +29d35m54s
509  SDSS J133319.26+245046.6 13h33m19.3s +24d50m47s
510  SDSS J133325.99+623541.7 13h33m26.0s +62d35m42s
511  SDSS J133336.72+155409.7 13h33m36.7s +15d54m10s
512  SDSS J133605.59+210526.4 13h36m05.6s +21d05m26s
513  SDSS J133612.16+231958.0 13h36m12.1s +23d19m58s
514  2MASS J13385905+1153164  13h38m59.0s +11d53m17s
515  SDSS J133910.80+080024.4 13h39m10.8s +08d00m24s
516 *2MASS J13402976+4410040  13h40m29.8s +44d10m04s
517  SDSS J134037.58-014847.6 13h40m37.6s -01d48m48s
518  2MASS J13410510+3959454  13h41m05.1s +39d59m45s
519  SBS 1339+554             13h41m36.2s +55d14m38s
520  SDSS J134145.08+190536.7 13h41m45.1s +19d05m37s
521  SDSS J134156.62+133845.3 13h41m56.6s +13d38m45s
522  SDSS J134240.33+093911.2 13h42m40.3s +09d39m11s
523  SDSS J134601.28+585820.2 13h46m01.3s +58d58m20s
524  2MASX J13463397+2440582  13h46m34.0s +24d40m58s
525  2MASX J13485338+0756478  13h48m53.4s +07d56m48s
526  SDSS J134951.93+382334.1 13h49m51.9s +38d23m34s
527  2MASS J13512084+1114530  13h51m20.8s +11d14m53s
528  SDSS J135158.20+554210.8 13h51m58.2s +55d42m11s
529  2MASX J13531412+3741142  13h53m14.1s +37d41m14s
530  PKS 1350+148             13h53m22.8s +14d35m39s
531  2MASS J13532805+5600566  13h53m28.0s +56d00m57s
532 *FBQS J135426.6+370654    13h54m26.7s +37d06m55s
533  SDSS J135444.21+062248.1 13h54m44.2s +06d22m48s
534  SDSS J135712.95-014600.5 13h57m12.9s -01d46m01s
535  2MASS J13573872+0128137  13h57m38.7s +01d28m14s
536  SDSS J140121.13+520928.9 14h01m21.1s +52d09m29s
537  SDSS J140127.23+484841.7 14h01m27.2s +48d48m42s
538  2MASS J14013872+3611217  14h01m38.7s +36d11m22s
539  2MASS J14033087+3606508  14h03m30.8s +36d06m51s
540  SDSS J140350.28+243304.8 14h03m50.3s +24d33m05s
541  SDSS J140438.58+501116.4 14h04m38.6s +50d11m16s
542  2MASS J14044969+6554313  14h04m49.6s +65d54m32s
543 *[HB89] 1402+042          14h04m50.9s +04d02m02s
544  SDSS J140519.62+305351.7 14h05m19.6s +30d53m52s
545  SDSS J140630.18+123620.4 14h06m30.2s +12d36m20s
546  SDSS J140641.39+481824.8 14h06m41.4s +48d18m25s
547  SDSS J140642.75+530833.8 14h06m42.7s +53d08m34s
548 *SDSS J140710.26+241853.6 14h07m10.3s +24d18m54s
549 *SDSS J140916.33-000011.2 14h09m16.3s -00d00m11s
550  SDSS J140918.18+014217.4 14h09m18.2s +01d42m17s
551  2MASS J14092353+5939408  14h09m23.5s +59d39m41s
552  SDSS J141003.91+051557.7 14h10m03.9s +05d15m58s
553  [HB89] 1407+022          14h10m04.6s +02d03m07s
554  2MASS J14102955+2820558  14h10m29.5s +28d20m56s
555  2MASS J14103085+6100125  14h10m30.8s +61d00m13s
556  2MASS J14114050+3404244  14h11m40.5s +34d04m24s
557  SDSS J141141.96+140233.9 14h11m42.0s +14d02m34s
558  2MASX J14115995+6344147  14h12m00.0s +63d44m15s
559  SDSS J141522.41+270318.2 14h15m22.4s +27d03m18s
560  2MASS J14153679+4830303  14h15m36.8s +48d30m30s
561 *SDSS J141657.93+123431.6 14h16m57.9s +12d34m32s
562  SDSS J141730.92+073320.7 14h17m30.9s +07d33m21s
563  SDSS J141756.67+254326.2 14h17m56.7s +25d43m26s
564  2MASS J14182632-0233340  14h18m26.3s -02d33m34s
565 *2MASS J14192748+0445138  14h19m27.5s +04d45m14s
566 *[HB89] 1418+546          14h19m46.6s +54d23m15s
567  SDSS J142013.68+061428.6 14h20m13.7s +06d14m29s
568  SDSS J142106.41+315940.9 14h21m06.4s +31d59m41s
569  SDSS J142116.23+052252.3 14h21m16.2s +05d22m52s
570  2MASS J14223892+5801555  14h22m38.9s +58d01m56s
571  2MASS J14230466+3737303  14h23m04.6s +37d37m30s
572  SDSS J142330.67+141247.8 14h23m30.7s +14d12m48s
573  2MASS J14240952+0434521  14h24m09.5s +04d34m52s
574 *2MASX J14242118+3705530  14h24m21.1s +37d05m54s
575  2MASS J14242293+3433567  14h24m22.9s +34d33m57s
576  SDSS J142436.29+144910.5 14h24m36.3s +14d49m11s
577  FBQS J142455.5+361536    14h24m55.5s +36d15m36s
578  SDSS J142526.18-011825.7 14h25m26.2s -01d18m26s
579  SDSS J142601.30+243245.7 14h26m01.3s +24d32m46s
580  SDSS J142605.77+531558.6 14h26m05.8s +53d15m59s
581  FBQS J142607.7+340426    14h26m07.7s +34d04m26s
582  SDSS J142645.52+241523.0 14h26m45.5s +24d15m23s
583  SDSS J142724.88-001450.9 14h27m24.9s -00d14m51s
584  2MASX J14283260+4240210  14h28m32.6s +42d40m21s
585  SDSS J142904.61+120410.2 14h29m04.6s +12d04m10s
586  SDSS J142943.64+385932.2 14h29m43.6s +38d59m32s
587  2MASS J14332758+2441174  14h33m27.6s +24d41m18s
588  SDSS J143653.39+053408.9 14h36m53.4s +05d34m09s
589  2MASS J14365771+5639249  14h36m57.7s +56d39m25s
590  SDSS J143716.15+471726.4 14h37m16.1s +47d17m26s
591 *SDSS J143758.67+300207.1 14h37m58.7s +30d02m07s
592  SDSS J143832.30+292210.3 14h38m32.3s +29d22m10s
593  FBQS J143917.4+393242    14h39m17.5s +39d32m43s
594  SDSS J143946.13+460311.1 14h39m46.1s +46d03m11s
595  SDSS J143946.96+495805.4 14h39m47.0s +49d58m05s
596  SDSS J144045.04+334322.2 14h40m45.0s +33d43m22s
597  FBQS J144050.0+333350    14h40m50.1s +33d33m50s
598  2MASS J14405293+0610162  14h40m52.9s +06d10m16s
599  4C +13.53                14h42m04.0s +13d29m16s
600  2MASS J14420713+4348367  14h42m07.1s +43d48m37s
601  SDSS J144248.28+120040.2 14h42m48.3s +12d00m40s
602  SDSS J144334.40+251558.2 14h43m34.4s +25d15m58s
603  2MASS J14443492+6336066  14h44m34.9s +63d36m06s
604  SDSS J144632.57+412729.9 14h46m32.6s +41d27m30s
605  LBQS 1445-0151           14h47m41.7s -02d03m39s
606  FBQS J144800.5+360831    14h48m00.6s +36d08m32s
607  SDSS J144803.36+240704.2 14h48m03.4s +24d07m04s
608  2MASX J14493265+2746213  14h49m32.7s +27d46m22s
609  SDSS J145045.56+461504.2 14h50m45.5s +46d15m04s
610  2MASS J14505995+5201107  14h51m00.0s +52d01m12s
611  SDSS J145111.70+580003.0 14h51m11.7s +58d00m03s
612 *SBS 1452+516             14h54m27.1s +51d24m34s
613  2MASS J14550743+0250400  14h55m07.4s +02d50m40s
614  SDSS J145514.08+235337.6 14h55m14.1s +23d53m38s
615 *SDSS J145603.64+504825.9 14h56m03.6s +50d48m26s
616  SDSS J145604.19+544253.1 14h56m04.2s +54d42m53s
617  B3 1456+375              14h58m44.8s +37d20m22s
618  SDSS J150057.85+484002.3 15h00m57.8s +48d40m02s
619  SDSS J150106.26+552750.7 15h01m06.2s +55d27m51s
620  FBQS J150233.9+335055    15h02m33.9s +33d50m56s
621  SDSS J150347.98+475930.9 15h03m48.0s +47d59m31s
622  SDSS J150410.48+300703.0 15h04m10.5s +30d07m03s
623  SDSS J150617.64+433413.6 15h06m17.6s +43d34m14s
624  SDSS J150644.47+081400.6 15h06m44.5s +08d14m01s
625  SDSS J150718.80+243122.7 15h07m18.8s +24d31m23s
626  SBS 1508+561             15h09m48.0s +55d56m17s
627  SDSS J151433.75+190319.5 15h14m33.7s +19d03m20s
628  SDSS J151826.68+075222.3 15h18m26.7s +07d52m22s
629  SDSS J152034.98+554256.9 15h20m35.0s +55d42m57s
630 *SDSS J152200.14+413741.6 15h22m00.1s +41d37m42s
631  SDSS J152200.76+035017.0 15h22m00.8s +03d50m17s
632  SDSS J152422.56+374034.1 15h24m22.6s +37d40m34s
633  SDSS J152507.68+215343.0 15h25m07.7s +21d53m43s
634  SDSS J152913.56+381217.5 15h29m13.6s +38d12m18s
635  FBQS J153044.0+231013    15h30m44.1s +23d10m14s
636  SDSS J153058.17+573625.2 15h30m58.2s +57d36m25s
637  SDSS J153139.78+470705.9 15h31m39.8s +47d07m06s
638  2MASS J15314952+4659135  15h31m49.5s +46d59m14s
639  2MASS J15331125+1854290  15h33m11.2s +18d54m29s
640  FBQS J153324.2+341640    15h33m24.2s +34d16m40s
641  FBQS J153447.2+371554    15h34m47.2s +37d15m55s
642  2MASS J15350086+5320374  15h35m00.8s +53d20m37s
643  2MASS J15392568+4217279  15h39m25.7s +42d17m28s
644  SDSS J154146.37+263100.8 15h41m46.4s +26d31m01s
645  SDSS J154604.25+081913.4 15h46m04.2s +08d19m13s
646  SDSS J154623.71+181715.3 15h46m23.7s +18d17m15s
647 *SDSS J154633.15+060345.5 15h46m33.1s +06d03m46s
648  SDSS J154850.76+001852.3 15h48m50.7s +00d18m52s
649 *2MASS J15520326+0850473  15h52m03.2s +08d50m47s
650  SDSS J155331.07+060143.8 15h53m31.1s +06d01m44s
651  SDSS J155412.07+241426.6 15h54m12.1s +24d14m27s
652  2MASX J15542410+2011249  15h54m24.1s +20d11m25s
653 *SDSS J155500.58+214159.8 15h55m00.6s +21d42m00s
654  SDSS J155626.90+103457.3 15h56m26.9s +10d34m57s
655  SDSS J155651.00+385446.4 15h56m51.0s +38d54m46s
656  SDSS J155848.37+022818.5 15h58m48.4s +02d28m19s
657  2MASS J15595220+2316567  15h59m52.2s +23d16m57s
658  SDSS J160114.81+042052.7 16h01m14.8s +04d20m53s
659  SDSS J160118.96+063136.0 16h01m18.9s +06d31m36s
660 *FBQS J160218.0+305109    16h02m18.1s +30d51m09s
661  SDSS J160339.49+500955.5 16h03m39.5s +50d09m55s
662  SDSS J160410.22+432614.6 16h04m10.2s +43d26m15s
663  SDSS J160436.64+173325.0 16h04m36.6s +17d33m25s
664  SDSS J160519.04+542059.9 16h05m19.0s +54d21m00s
665  2MASS J16074064+2541160  16h07m40.6s +25d41m16s
666 *SDSS J160827.08+075811.5 16h08m27.1s +07d58m12s
667  SDSS J160909.77+342154.1 16h09m09.7s +34d21m54s
668  SDSS J161016.47+303945.9 16h10m16.5s +30d39m46s
669  SDSS J161245.67+511816.8 16h12m45.7s +51d18m17s
670  SDSS J161353.49+220159.4 16h13m53.5s +22d01m59s
671  SDSS J161409.43+203602.0 16h14m09.4s +20d36m02s
672 *SDSS J161415.20+004722.0 16h14m15.2s +00d47m22s
673 *B3 1614+473              16h15m41.2s +47d11m12s
674  2MASX J16160849+2241070  16h16m08.5s +22d41m08s
675  SDSS J161633.78+333043.4 16h16m33.8s +33d30m44s
676  SDSS J161706.32+410647.0 16h17m06.3s +41d06m47s
677  B2 1616+36               16h18m23.6s +36d32m02s
678  2MASS J16183059+0622116  16h18m30.6s +06d22m12s
679 *SDSS J161836.09+153313.5 16h18m36.1s +15d33m14s
680  SDSS J162115.21-003140.3 16h21m15.2s -00d31m40s
681  SDSS J162258.85+064919.3 16h22m58.8s +06d49m19s
682  SDSS J162259.24+440142.9 16h22m59.3s +44d01m43s
683  SDSS J162332.26+284128.7 16h23m32.2s +28d41m29s
684  SDSS J162356.37+133614.1 16h23m56.4s +13d36m14s
685  SDSS J162451.69+232515.8 16h24m51.7s +23d25m16s
686  SDSS J162625.85+351341.4 16h26m25.8s +35d13m42s
687  SDSS J162650.39+342229.4 16h26m50.4s +34d22m29s
688  SDSS J162712.98+314956.0 16h27m13.0s +31d49m56s
689  2MASX J16283902+2527560  16h28m39.0s +25d27m56s
690  SDSS J162856.27+140028.7 16h28m56.3s +14d00m29s
691  SDSS J162933.60+253200.6 16h29m33.6s +25d32m01s
692  2MASS J16312462+4217024  16h31m24.7s +42d17m02s
693  SDSS J163214.52+175849.6 16h32m14.5s +17d58m50s
694  2MASX J16332244+4227388  16h33m22.5s +42d27m39s
695  2MASS J16370949+4326004  16h37m09.5s +43d26m00s
696  2MASS J16371675+1314383  16h37m16.7s +13d14m39s
697  B3 1635+458              16h37m26.7s +45d47m49s
698  SDSS J163739.15+221039.9 16h37m39.1s +22d10m40s
699  SDSS J163836.22+435403.0 16h38m36.2s +43d54m03s
700  SDSS J163843.23+133409.8 16h38m43.2s +13d34m10s
701  SDSS J164128.55+211759.6 16h41m28.5s +21d18m00s
702  2MASS J16422033+2211435  16h42m20.3s +22d11m43s
703  SDSS J164301.06+322104.0 16h43m01.0s +32d21m04s
704  SDSS J164302.03+441422.1 16h43m02.0s +44d14m22s
705  B3 1642+458              16h44m20.0s +45d46m44s
706  SDSS J164729.70+252154.4 16h47m29.7s +25d21m54s
707  SDSS J164903.28+304936.5 16h49m03.3s +30d49m37s
708  FBQS J165109.1+421253    16h51m09.2s +42d12m53s
709  SDSS J165146.61+184709.0 16h51m46.6s +18d47m09s
710 *SDSS J165248.44+363212.5 16h52m48.4s +36d32m13s
711 *FBQS J165249.9+402309    16h52m49.9s +40d23m10s
712  SDSS J165412.83+354334.9 16h54m12.8s +35d43m35s
713 *SDSS J165542.81+324420.0 16h55m42.8s +32d44m20s
714 *B3 1654+374              16h55m52.2s +37d23m22s
715 *SDSS J165806.76+611858.9 16h58m06.7s +61d18m59s
716  2MASS J16580829+6150021  16h58m08.3s +61d50m02s
717  SDSS J165851.61+341908.8 16h58m51.6s +34d19m09s
718  SDSS J170108.89+395443.0 17h01m08.9s +39d54m43s
719  FBQS J170124.6+395437    17h01m24.6s +39d54m37s
720  FBQS J170238.5+311543    17h02m38.5s +31d15m44s
721  FBQS J171248.7+293117    17h12m48.8s +29d31m17s
722  SDSS J171427.40+560156.0 17h14m27.4s +56d01m56s
723  SDSS J171445.53+303628.0 17h14m45.5s +30d36m28s
724  SDSS J171501.35+292912.3 17h15m01.3s +29d29m12s
725  SDSS J171902.34+552434.5 17h19m02.3s +55d24m35s
726 *SDSS J172858.15+603512.7 17h28m58.1s +60d35m13s
727  2MASS J17291881+5255592  17h29m18.7s +52d55m59s
728  SDSS J173719.12+570216.5 17h37m19.1s +57d02m16s
729  SDSS J204921.74-003926.6 20h49m21.7s -00d39m27s
730  SDSS J205133.22-002130.1 20h51m33.2s -00d21m30s
731  2MASX J20545682+0015378  20h54m56.8s +00d15m38s
732  2MASS J20552338-0506189  20h55m23.4s -05d06m19s
733  2MASS J20552822-0021172  20h55m28.2s -00d21m17s
734  2MASS J20593853-0037557  20h59m38.6s -00d37m56s
735  SDSS J210436.56-072146.7 21h04m36.5s -07d21m47s
736  SDSS J211552.88+000115.4 21h15m52.9s +00d01m16s
737  2MASS J21160322-0108285  21h16m03.2s -01d08m28s
738 *FBQS J2116-0628          21h16m11.9s -06d28m30s
739  SDSS J212416.05-074129.8 21h24m16.0s -07d41m30s
740  SDSS J212756.66+004745.6 21h27m56.7s +00d47m46s
741  SDSS J213742.23-003912.7 21h37m42.2s -00d39m13s
742  SDSS J214406.27-002858.1 21h44m06.3s -00d28m58s
743  SDSS J214807.07-073346.9 21h48m07.1s -07d33m47s
744  SDSS J215051.71+111916.6 21h50m51.7s +11d19m17s
745  2MASS J21530534-0042307  21h53m05.3s -00d42m31s
746  FBQS J2156-0855          21h56m50.3s -08d55m35s
747  SDSS J215950.30+124718.4 21h59m50.3s +12d47m18s
748  FBQS J2204+0031          22h04m45.3s +00d31m42s
749  FBQS J2211-0003          22h11m08.3s -00d03m03s
750  FBQS J2211-0023          22h11m09.9s -00d23m27s
751  SDSS J221456.37+002000.0 22h14m56.4s +00d20m00s
752  2MASS J22330112+1336022  22h33m01.1s +13d36m02s
753  SDSS J224046.89+132602.6 22h40m46.9s +13d26m03s
754  SDSS J224448.09-000619.3 22h44m48.1s -00d06m20s
755  FBQS J2247+0000          22h47m30.2s +00d00m06s
756  SDSS J224949.85+130844.7 22h49m49.9s +13d08m45s
757  2MASS J22523220+1245109  22h52m32.2s +12d45m11s
758  2MASS J22535423+1404371  22h53m54.2s +14d04m37s
759  2MASS J22562428+1305412  22h56m24.3s +13d05m42s
760  SDSS J232428.43+144324.3 23h24m28.4s +14d43m24s
761  2MASS J23345383+1432148  23h34m53.8s +14d32m15s
762  SDSS J233939.48-103539.3 23h39m39.5s -10d35m39s
763  FBQS J2356-0023          23h56m04.0s -00d23m54s
